reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
SCF-335,335,,11.5,4.7,,,,
SCF-345,345,,11.75,4.8,,,,
SCF-365,365,,12,4.9,,,,
SCF-385,385,,12.25,5,,,,
SCF-415,415,,12.5,5.1,,,,
SCF-450,450,,12.75,5.3,,,,
SCF-485,485,,13,5.4,,,,
SCF-520,520,,13.25,5.5,,,,
SCF-560,560,,13.5,5.7,,,,
SCF-605,605,,14,5.8,,,,
SCF-650,650,,14.5,5.9,,,,
SCF-695,695,,14.75,6,,,,
SCF-745,745,,15,6.1,,,,
SCF-770,770,,15.5,6,,,,
SSF-180,180,,9.5,4,,,,
SSF-200,200,,9.75,4.1,,,,
SSF-220,220,,10,4.2,,,,
SSF-240,240,,10.5,4.3,,,,
SSF-265,265,,11,4.4,,,,
SSF-295,295,,11.25,4.5,,,,
SSF-325,325,,11.4,4.6,,,,
SSF-335,335,,11.5,4.7,,,,
SSF-345,345,,11.75,4.8,,,,
SSF-365,365,,12,4.9,,,,
SSF-385,385,,12.25,5,,,,
SSF-415,415,,12.5,5.1,,,,
SSF-450,450,,12.75,5.3,,,,
SSF-485,485,,13,5.4,,,,
SSF-520,520,,13.25,5.5,,,,
SSF-560,560,,13.5,5.7,,,,
SSF-605,605,,14,5.8,,,,
SSF-650,650,,14.5,5.9,,,,
SSF-695,695,,14.75,6,,,,
SSF-745,745,,15,6.1,,,,
SSF-770,770,,15.5,6,,,,
SRF-180,180,,9.5,4,,,,
SRF-200,200,,9.75,4.1,,,,
SRF-220,220,,10,4.2,,,,
SRF-240,240,,10.5,4.3,,,,
SRF-265,265,,11,4.4,,,,
SRF-295,295,,11.25,4.5,,,,
SRF-325,325,,11.4,4.6,,,,
SRF-335,335,,11.5,4.7,,,,
SRF-345,345,,11.75,4.8,,,,
SRF-365,365,,12,4.9,,,,
SRF-385,385,,12.25,5,,,,
SRF-415,415,,12.5,5.1,,,,
SRF-450,450,,12.75,5.3,,,,
SRF-485,485,,13,5.4,,,,
SRF-520,520,,13.25,5.5,,,,
SRF-560,560,,13.5,5.7,,,,
SRF-605,605,,14,5.8,,,,
SRF-650,650,,14.5,5.9,,,,
SRF-695,695,,14.75,6,,,,
SRF-745,745,,15,6.1,,,,
SRF-770,770,,15.5,6,,,,
SCM-140,140,,9.5,3,,,,
SCM-175,175,,10,3.3,,,,
SCM-195,195,,10.25,3.4,,,,
SCM-210,210,,10.5,3.5,,,,
SCM-240,240,,11,3.7,,,,
SCM-255,255,,11.25,3.8,,,,
SCM-275,275,,11.5,3.9,,,,
SCM-295,295,,11.75,3.9,,,,
SCM-310,310,,12,4,,,,
SCM-330,330,,12.25,4.1,,,,
SCM-345,345,,12.5,4.2,,,,
SCM-360,360,,12.75,4.2,,,,
SCM-375,375,,13,4.3,,,,
SCM-405,405,,13.25,4.4,,,,
SCM-445,445,,13.5,4.5,,,,
SCM-485,485,,14,4.6,,,,
SCM-520,520,,14.5,4.8,,,,
SCM-560,560,,14.75,4.9,,,,
SCM-600,600,,15,4.9,,,,
SCM-640,640,,15.5,5,,,,
SCM-685,685,,16,5.2,,,,
SCM-755,755,,16.5,5,,,,
SSM-140,140,,9.5,3,,,,
SSM-175,175,,10,3.3,,,,
SSM-195,195,,10.25,3.4,,,,
SSM-210,210,,10.5,3.5,,,,
SSM-240,240,,11,3.7,,,,
SSM-255,255,,11.25,3.8,,,,
SSM-275,275,,11.5,3.9,,,,
SSM-295,295,,11.75,3.9,,,,
SSM-310,310,,12,4,,,,
SSM-330,330,,12.25,4.1,,,,
SSM-345,345,,12.5,4.2,,,,
SSM-360,360,,12.75,4.2,,,,
SSM-375,375,,13,4.3,,,,
SSM-405,405,,13.25,4.4,,,,
SSM-445,445,,13.5,4.5,,,,
SSM-485,485,,14,4.6,,,,
SSM-520,520,,14.5,4.8,,,,
SSM-560,560,,14.75,4.9,,,,
SSM-600,600,,15,4.9,,,,
SSM-640,640,,15.5,5,,,,
SSM-685,685,,16,5.2,,,,
SSM-755,755,,16.5,5,,,,
SRM-140,140,,9.5,3,,,,
SRM-175,175,,10,3.3,,,,
SRM-195,195,,10.25,3.4,,,,
SRM-210,210,,10.5,3.5,,,,
SRM-240,240,,11,3.7,,,,
SRM-255,255,,11.25,3.8,,,,
SRM-275,275,,11.5,3.9,,,,
SRM-295,295,,11.75,3.9,,,,
SRM-310,310,,12,4,,,,
SRM-330,330,,12.25,4.1,,,,
SRM-345,345,,12.5,4.2,,,,
SRM-360,360,,12.75,4.2,,,,
SRM-375,375,,13,4.3,,,,
SRM-405,405,,13.25,4.4,,,,
SRM-445,445,,13.5,4.5,,,,
SRM-485,485,,14,4.6,,,,
SRM-520,520,,14.5,4.8,,,,
SRM-560,560,,14.75,4.9,,,,
SRM-600,600,,15,4.9,,,,
SRM-640,640,,15.5,5,,,,
SRM-685,685,,16,5.2,,,,
SRM-755,755,,16.5,5,,,,
SCLP-125,125,,9.5,2.5,,,,
SCLP-145,145,,10,2.6,,,,
SCLP-165,165,,10.5,2.7,,,,
SCLP-190,190,,11,2.8,,,,
SCLP-205,205,,11.25,2.9,,,,
SCLP-220,220,,11.5,3,,,,
SCLP-235,235,,11.75,3.1,,,,
SCLP-250,250,,12,3.1,,,,
SCLP-265,265,,12.25,3.2,,,,
SCLP-280,280,,12.5,3.3,,,,
SCLP-300,300,,12.75,3.3,,,,
SCLP-320,320,,13,3.4,,,,
SCLP-340,340,,13.25,3.5,,,,
SCLP-360,360,,13.5,3.5,,,,
SCLP-400,400,,14,3.6,,,,
SCLP-440,440,,14.5,3.8,,,,
SCLP-490,490,,15,3.9,,,,
SCLP-540,540,,15.5,4,,,,
SCLP-590,590,,16,4.2,,,,
SCLP-640,640,,16.5,4.3,,,,
SSLP-125,125,,9.5,2.5,,,,
SSLP-145,145,,10,2.6,,,,
SSLP-165,165,,10.5,2.7,,,,
SSLP-190,190,,11,2.8,,,,
SSLP-205,205,,11.25,2.9,,,,
SSLP-220,220,,11.5,3,,,,
SSLP-235,235,,11.75,3.1,,,,
SSLP-250,250,,12,3.1,,,,
SSLP-265,265,,12.25,3.2,,,,
SSLP-280,280,,12.5,3.3,,,,
SSLP-300,300,,12.75,3.3,,,,
SSLP-320,320,,13,3.4,,,,
SSLP-340,340,,13.25,3.5,,,,
SSLP-360,360,,13.5,3.5,,,,
SSLP-400,400,,14,3.6,,,,
SSLP-440,440,,14.5,3.8,,,,
SSLP-490,490,,15,3.9,,,,
SSLP-540,540,,15.5,4,,,,
SSLP-590,590,,16,4.2,,,,
SSLP-640,640,,16.5,4.3,,,,
SRLP-125,125,,9.5,2.5,,,,
SRLP-145,145,,10,2.6,,,,
SRLP-165,165,,10.5,2.7,,,,
SRLP-190,190,,11,2.8,,,,
SRLP-205,205,,11.25,2.9,,,,
SRLP-220,220,,11.5,3,,,,
SRLP-235,235,,11.75,3.1,,,,
