reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
10621-195MP,195,,9.7,3.9,,,,
10621-215MP,215,,10,3.9,,,,
10621-235MP,235,,10.5,3.9,,,,
10621-255MP,255,,11,3.9,,,,
10621-285MP,285,,11.4,4,,,,
10621-305MP,305,,11.7,4,,,,
10621-325MP,325,,11.8,4.4,,,,
10621-355MP,355,,12.1,4.4,,,,
10621-385MP,385,,12.5,4.5,,,,
10621-415MP,415,,12.9,4.6,,,,
10621-435MP,435,,13.2,4.6,,,,
10621-455MP,455,,13.3,4.8,,,,
10621-485MP,485,,13.6,4.8,,,,
10621-505MP,505,,13.7,4.9,,,,
10621-525MP,525,,13.8,5,,,,
10621-540MP,540,,13.9,5.1,,,,
10621-575MP,575,,14.1,5.2,,,,
10621-590MP,590,,14.3,5.3,,,,
10621-625MP,625,,14.6,5.3,,,,
10621-650MP,650,,14.8,5.4,,,,
10621-695MP,695,,15.1,5.5,,,,
10621-190HP,190,,9.6,4,,,,
10621-205HP,205,,9.9,4.1,,,,
10621-225HP,225,,10.2,4.2,,,,
10621-240HP,240,,10.5,4.3,,,,
10621-255HP,255,,10.8,4.4,,,,
10621-280HP,280,,11.1,4.5,,,,
10621-300HP,300,,11.4,4.6,,,,
10621-330HP,330,,11.7,4.7,,,,
10621-350HP,350,,12,4.8,,,,
10621-385HP,385,,12.3,4.9,,,,
10621-415HP,415,,12.5,5,,,,
10621-440HP,440,,12.8,5.1,,,,
10621-470HP,470,,13.1,5.2,,,,
10621-505HP,505,,13.4,5.3,,,,
10621-535HP,535,,13.7,5.4,,,,
10621-565HP,565,,14,5.5,,,,
10721-175MP,175,,9.3,3.7,,,,
10721-195MP,195,,9.7,3.9,,,,
10721-215MP,215,,10,3.9,,,,
10721-235MP,235,,10.5,3.9,,,,
10721-255MP,255,,11,3.9,,,,
10721-285MP,285,,11.4,4,,,,
10721-305MP,305,,11.7,4,,,,
10721-325MP,325,,11.8,4.4,,,,
10721-355MP,355,,12.1,4.4,,,,
10721-385MP,385,,12.5,4.5,,,,
10721-435MP,435,,13.2,4.6,,,,
10721-485MP,485,,13.6,4.8,,,,
10721-525MP,525,,13.8,5,,,,
10721-575MP,575,,14.1,5.2,,,,
10721-625MP,625,,14.6,5.3,,,,
10721-695MP,695,,15.1,5.5,,,,
10721-190HP,190,,9.6,4,,,,
10721-205HP,205,,9.9,4.1,,,,
10721-225HP,225,,10.2,4.2,,,,
10721-240HP,240,,10.5,4.3,,,,
10721-255HP,255,,10.8,4.4,,,,
10721-280HP,280,,11.1,4.5,,,,
10721-300HP,300,,11.4,4.6,,,,
10721-330HP,330,,11.7,4.7,,,,
10721-350HP,350,,12,4.8,,,,
10721-385HP,385,,12.3,4.9,,,,
10721-415HP,415,,12.5,5,,,,
10721-440HP,440,,12.8,5.1,,,,
10721-505HP,505,,13.4,5.3,,,,
10721-565HP,565,,14,5.5,,,,
