reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
SMPX325,325,,11.9,4.1,,,,
SMPX350,350,,12.3,4.1,,,,
SMPX370,370,,12.6,4.1,,,,
SMPX405,405,,12.7,4.4,,,,
SMPX440,440,,13.1,4.5,,,,
SMPX465,465,,13.3,4.7,,,,
SMPX490,490,,13.6,4.7,,,,
SMPX525,525,,13.9,4.7,,,,
SMPX545,545,,14,4.9,,,,
SMPX560,560,,14.3,4.8,,,,
SMPX605,605,,14.5,5.1,,,,
SMPX630,630,,14.7,5.1,,,,
SMPX645,645,,14.9,5.1,,,,
SMPX685,685,,15.3,5.2,,,,
SMPX755,755,,15.7,5.4,,,,
THPX150,150,,8.4,4.2,,,,
THPX175,175,,9,4.4,,,,
THPX200,200,,9.4,4.5,,,,
THPX230,230,,9.8,4.8,,,,
THPX255,255,,10.1,4.9,,,,
THPX285,285,,10.5,5.1,,,,
THPX325,325,,10.8,5.4,,,,
THPX340,340,,11.1,5.4,,,,
THPX365,365,,11.4,5.5,,,,
THPX405,405,,11.6,5.9,,,,
THPX425,425,,11.9,5.8,,,,
THPX455,455,,12.1,6,,,,
THPX470,470,,12.3,5.9,,,,
THPX515,515,,12.6,6.2,,,,
THPX545,545,,12.8,6.3,,,,
THPX570,570,,13.2,6.3,,,,
THPX620,620,,13.4,6.5,,,,
THPX680,680,,14,6.6,,,,
THPX725,725,,14.5,6.7,,,,
THPX765,765,,14.7,6.7,,,,
TMPX115,115,,8.4,3.2,,,,
TMPX130,130,,9.1,3.1,,,,
TMPX160,160,,9.5,3.3,,,,
TMPX190,190,,10.1,3.5,,,,
TMPX215,215,,10.5,3.6,,,,
TMPX240,240,,10.9,3.8,,,,
TMPX270,270,,11.4,3.9,,,,
TMPX295,295,,11.6,4.1,,,,
TMPX325,325,,11.9,4.2,,,,
TMPX350,350,,12.2,4.3,,,,
TMPX370,370,,12.7,4.3,,,,
TMPX405,405,,12.8,4.5,,,,
TMPX440,440,,13.1,4.8,,,,
TMPX465,465,,13.4,4.8,,,,
TMPX490,490,,13.6,4.8,,,,
TMPX525,525,,13.7,5.1,,,,
TMPX545,545,,14.1,5,,,,
TMPX560,560,,14.3,5,,,,
TMPX605,605,,14.4,5.3,,,,
TMPX630,630,,14.6,5.4,,,,
TMPX645,645,,15,5.3,,,,
TMPX685,685,,15.4,5.3,,,,
TMPX755,755,,15.7,5.6,9.1,3.4,,
350-1610,125,150,9.5,3,9.6,3.7,,
350-1615,150,175,10,3.1,10,3.9,,
350-1620,175,200,10.6,3.3,10.4,3.9,,
350-1625,200,225,11,3.4,10.9,4,,
350-1630,225,250,11.5,3.5,11.2,4.1,,
350-1635,250,275,11.9,3.6,11.7,4.2,,
350-1640,275,300,12.3,3.7,12.1,4.3,,
350-1645,300,325,12.6,3.7,12.3,4.5,,
350-1650,325,375,13,3.8,12.6,4.7,,
350-1655,350,400,13.3,3.9,12.8,4.8,,
350-1660,375,425,13.6,4,13.5,4.9,,
350-1670,425,475,14.2,4.1,14.2,4.9,,
350-1680,475,525,14.8,4.2,14.5,5.1,,
350-1685,525,575,15,4.2,14.8,5.1,,
350-1690,575,625,15,4.5,14.9,5.6,,
350-1695,625,700,15.2,4.6,14.9,5.8,,
350-1697,700,775,15.6,4.9,9.3,4.2,,
350-2175,175,210,9.5,3.5,9.7,4.4,,
350-2200,200,240,10,3.7,10.1,4.6,,
350-2225,225,270,10.4,3.8,10.5,4.7,,
350-2250,250,300,10.8,4,10.8,4.9,,
350-2275,275,330,11,4.1,11.2,5,,
350-2300,300,360,11.5,4.3,11.5,5.2,,
350-2325,325,390,11.9,4.4,11.7,5.3,,
350-2350,350,420,12.1,4.5,12,5.4,,
350-2375,375,450,12.3,4.6,12.3,5.5,,
350-2400,400,480,12.6,4.7,12.5,5.6,,
350-2425,425,510,12.9,4.8,12.8,5.7,,
350-2450,450,540,13,4.9,13,5.8,,
350-2475,475,570,13.3,5,13.2,5.9,,
350-2500,500,600,13.6,5.1,13.7,6.1,,
350-2550,550,660,14,5.3,14.1,6.3,,
350-2600,600,720,14.5,5.5,14.4,6.5,,
350-2650,650,780,14.8,5.6,14.8,6.6,,
350-2700,700,840,15.2,5.8,15.1,6.8,,
350-2750,750,900,15.6,5.9,15.5,7,,
350-2800,800,960,16.1,6,8.8,4.9,,
350-3170,170,200,9,4,9.1,5.1,,
350-3190,190,225,9.3,4.1,9.5,5.3,,
350-3210,210,250,9.6,4.2,9.8,5.5,,
350-3230,230,275,10,4.3,10,5.6,,
350-3250,250,300,10.2,4.5,10.2,5.8,,
350-3270,270,325,10.4,4.6,10.5,5.9,,
350-3290,290,350,10.8,4.7,10.7,6,,
350-3310,310,375,11,4.8,11,6.2,,
350-3330,330,400,11.3,4.8,11.4,6.4,,
350-3380,380,450,11.7,5.2,11.7,6.7,,
350-3420,420,500,12,5.4,12.1,6.9,,
350-3460,460,550,12.4,5.5,12.4,7.1,,
350-3500,500,600,12.8,5.6,13.1,7.3,,
350-3560,560,650,13.4,5.7,13.4,7.4,,
350-3630,630,750,13.8,5.9,,,,
354-2610,125,150,9.5,3,,,,
354-2615,150,175,10,3.1,,,,
354-2620,175,200,10.6,3.3,,,,
354-2625,200,225,11,3.4,,,,
354-2630,225,250,11.5,3.5,,,,
354-2635,250,275,11.9,3.6,,,,
354-2640,275,300,12.3,3.7,,,,
354-2645,300,325,12.6,3.7,,,,
354-2650,325,375,13,3.8,,,,
354-2655,350,400,13.3,3.9,,,,
354-2660,375,425,13.6,4,,,,
354-2670,425,475,14.2,4.1,,,,
354-2680,475,525,14.8,4.2,,,10.2,8.5
