PrimaryDI|deviceId|deviceIdType|deviceIdIssuingAgency|containsDINumber|pkgQuantity|pkgDiscontinuedate|pkgStatus
e30aad06-16b1-441a-bf43-c9df8f6388ab|00081317002079|Primary|GS1||||
d822cf87-d299-487c-9517-bdf8e1f77ebf|00081317002024|Primary|GS1||||
f52062ea-2302-405e-9ae4-ce66cbe082dd|00081317002017|Primary|GS1||||
f9e5472e-5318-491f-9778-ace3e6be864a|00081317001911|Primary|GS1||||
7dc741e3-63df-4005-9f46-95ede092df10|00081317001898|Primary|GS1||||
643fc137-f2e3-45e7-b362-df6e95312be1|00081317001799|Primary|GS1||||
42ee63a5-3299-47f5-8cd4-e7171a263c03|00081317001737|Primary|GS1||||
34e23f04-b519-48b3-b598-4c66b340172e|00081317001683|Primary|GS1||||
7d564c9c-5548-42dc-9ff1-124afe0c6d9b|00081317001645|Primary|GS1||||
b65f15fb-f06e-4b72-9942-c89a4e3856f9|00081317001560|Primary|GS1||||
aa674f86-94d8-4b0f-b868-4526fa0b1d2a|00081317001324|Primary|GS1||||
73755d5b-8fdc-4b57-a46b-5e4d0e069864|00081317001225|Primary|GS1||||
ac011a68-fa10-41d0-8226-5ca861614b34|10851795006138|Primary|GS1||||
bbcba13c-ec3c-40d3-aae0-9ab27bd755ca|10851795006022|Primary|GS1||||
a2af3303-cde4-40cd-aa0d-e0f48b25c59c|10888628001152|Primary|GS1||||
a2058666-a6c9-4cf3-ab16-04afc6898d77|10888628001138|Primary|GS1||||
4d1a7d0f-747d-4557-bcc6-7db73d7cfe8d|10888628001121|Primary|GS1||||
d2937e65-30d2-424c-aeae-389147b0e9d8|10888628001008|Primary|GS1||||
de13784c-cf35-4884-9e5a-bb77b8986e2d|10888628000988|Primary|GS1||||
1a2f0499-aa0e-4e0a-850b-91d1a841b3a4|10888628000919|Primary|GS1||||
e6483012-fe7b-45f1-87b0-e35ae0aded30|10888628000889|Primary|GS1||||
f5055ca3-4ed0-4583-bb36-75888d057349|10888628000858|Primary|GS1||||
9710091a-087a-464d-b8cf-e01d0381ce0d|10888628000841|Primary|GS1||||
985afc97-db2c-4d59-b5d4-c5c6fed0317b|10888628000797|Primary|GS1||||
56ea3f4a-89c0-4c0d-a2e6-240a2822cbb6|10888628000773|Primary|GS1||||
b11a2711-870c-4823-8774-1ad85c12e86b|10888628000759|Primary|GS1||||
e5b03218-1d4d-4b85-bf17-09a43d3c4571|10888628000674|Primary|GS1||||
949e253e-6ea2-49a4-827e-e3395fe4ba92|10888628000537|Primary|GS1||||
bf191d34-43ce-4a66-bd79-1006d770b156|10888628000483|Primary|GS1||||
0db47fe6-507d-46ab-b8b1-fbc883b5f487|10888628000421|Primary|GS1||||
193bcdda-6bd4-4b0e-a0b2-47809166c0bd|10888628000414|Primary|GS1||||
b2690e39-8f7b-4827-922f-fc90e6b69933|10888628000353|Primary|GS1||||
1406fec3-c07e-4673-b70d-b329527760ed|10888628000308|Primary|GS1||||
a817e26f-5ab9-4052-a19d-434b912c6e09|10888628000261|Primary|GS1||||
f748154e-235f-463b-9f8e-f8da50e0e323|10888628000186|Primary|GS1||||
1d35cea6-a809-43ae-8ba9-b1eb2ac41de7|00081317002178|Primary|GS1||||
2469284a-4165-432e-a72b-9e814ae9fd76|00081317002116|Primary|GS1||||
afa0f2b5-2712-4520-b5be-69d57dd8285a|00081317002109|Primary|GS1||||
6109aecd-2d28-4299-8136-d34701236eef|00081317001997|Primary|GS1||||
b553cded-8325-4ae1-ad87-2f64c9cdbb48|00081317001959|Primary|GS1||||
69493924-1ac5-48c3-bafd-cbbc3568d158|00081317001942|Primary|GS1||||
83308c7d-640a-4c41-810a-0bf97367bdc2|00081317001928|Primary|GS1||||
053bbf93-807f-4995-84a5-7bdf20d44340|00081317001874|Primary|GS1||||
640ac298-f19c-427c-91a1-ea3000e9dd90|00081317001850|Primary|GS1||||
59283c31-0676-4c57-8831-b446dd69d6de|00081317001836|Primary|GS1||||
08bf9a14-9836-4f05-9997-2bbf0a087682|00081317001782|Primary|GS1||||
9f88d633-7698-46b8-97fb-c0db6ac41ae7|00081317001720|Primary|GS1||||
86732871-0c21-4200-a1d0-2ed8ebbbcb8d|00081317001713|Primary|GS1||||
70c093cb-0540-4c4f-8b5c-e22d2c62918e|00081317001706|Primary|GS1||||
6dae75d9-9c78-4df3-88de-b764c0cd0971|00081317001690|Primary|GS1||||
826eb2e0-b15c-4a7c-a3b1-62b408d6e978|00081317001676|Primary|GS1||||
f385aa37-1a1c-499b-bbec-28ac04ee5253|00081317001591|Primary|GS1||||
156b699d-a6b2-4129-b8e6-13e5ab3b6cf5|00081317001461|Primary|GS1||||
fad1a01b-d892-42d9-9b79-1d3e52f1ae0d|00081317001423|Primary|GS1||||
5374d322-d589-473b-84ee-ee2f91d68b72|00081317001416|Primary|GS1||||
95413e60-657b-4ab9-94d5-1855a3410bab|00081317001317|Primary|GS1||||
561ccd9c-6b60-4d52-b3fa-8cf7bcc06f97|00081317001232|Primary|GS1||||
740665e4-e2d7-483d-8ce1-0289eac92d46|00081317001201|Primary|GS1||||
5f5fa2e2-95d8-4573-91a7-6a8047076dd1|00081317001188|Primary|GS1||||
8de0bdb1-34d0-481a-9be4-186a172d3817|00081317009030|Primary|GS1||||
2281817c-589a-4310-977c-dfc1ea2aa672|10851795006121|Primary|GS1||||
ffe23f48-9bed-4fec-88b9-008e7b2ddaba|10851795006114|Primary|GS1||||
57055826-138b-4f2c-80df-a5593037faa4|10851795006091|Primary|GS1||||
1ac83e20-7577-4663-8597-22a3afc82437|10851795006060|Primary|GS1||||
8013d45b-eb2c-42c1-8d5e-c5047d64ea1f|10851795006015|Primary|GS1||||
29bb17a8-5f86-47a9-bb72-429e04da44bb|10851795006008|Primary|GS1||||
3ea73fac-ac9f-4f7d-9d78-3ca59ca07ec0|10888628029705|Primary|GS1||||
ad026ea2-8373-4095-9534-e625043e03b7|10888628029651|Primary|GS1||||
0a36405a-6617-477b-a0cf-8ddcabf3f244|10888628029620|Primary|GS1||||
92fd570f-8bb2-4d0f-a7ac-dd80f6ad06e9|10888628029460|Primary|GS1||||
e1c546c7-4bd3-424a-8f11-a76e888cb302|10888628029439|Primary|GS1||||
8831cf5e-301e-45e1-b767-c7cb0ae48ca8|10888628008557|Primary|GS1||||
cd883a41-f767-4bbf-a1da-d7522cce0fe2|10888628008489|Primary|GS1||||
b2d831c4-dbcf-4cb2-bb2c-055dd4f4c6f6|10888628008359|Primary|GS1||||
2c5f0127-518a-4b0b-8c6d-10c400256dc0|10888628008335|Primary|GS1||||
e1b8eb87-d25e-4d6e-9e08-6a8cfa644911|10888628008229|Primary|GS1||||
4b07d986-3935-4e04-badb-562c069f57dc|10888628008212|Primary|GS1||||
be9f8edd-dd5c-4467-9510-ad3d5c736b86|10888628008090|Primary|GS1||||
912240eb-2831-4551-8d11-139f02503d55|10888628007987|Primary|GS1||||
b1fd09b0-7577-480a-9ea6-d4896555e225|10888628007901|Primary|GS1||||
642ea403-a1c6-43cc-9428-745a1d019596|10888628007895|Primary|GS1||||
67c7b0fe-0a70-4a57-ac9f-f550d156e44c|10888628007888|Primary|GS1||||
50d19187-10de-465a-968f-5daf7de42a63|10888628007833|Primary|GS1||||
28a88523-f44f-400d-9db9-1932a2de997f|10888628007796|Primary|GS1||||
66f60537-bcc1-4e24-9105-f87498f6cdc1|10888628007680|Primary|GS1||||
1fd50076-7d5a-4c3c-a2eb-d6bca4a84e18|10888628007598|Primary|GS1||||
92adab78-1769-4179-8f2a-7683cc2065ff|10888628007536|Primary|GS1||||
68e5358e-91fc-476f-8ada-cfd21acfc088|10888628007505|Primary|GS1||||
edfc4408-7a4a-4bef-ac4b-e33bfe677ebb|10888628007420|Primary|GS1||||
fce08162-8f26-4480-ab3d-d58d2bdac170|10888628007314|Primary|GS1||||
bb535ae6-2e46-485f-8d00-db9548f62599|10888628007239|Primary|GS1||||
f8215343-901c-42d5-a67d-a52897df3ccf|10888628007215|Primary|GS1||||
676756c1-aec6-4c43-81ea-8ee3f72c21a1|10888628007192|Primary|GS1||||
4c05390d-e5da-42c6-9fbb-00a74bdd7e6d|10888628007086|Primary|GS1||||
bbd7b47a-6c40-47e7-96df-e1c9f5848a1e|10888628007055|Primary|GS1||||
6dd2a2a0-c6f3-4a5a-aa73-5e684001cb49|10888628007017|Primary|GS1||||
11ff5513-23a5-4fd3-8b6b-967f596a0b68|10888628007000|Primary|GS1||||
643cc198-b1a1-45ae-8998-e33d0ff618f4|10888628006997|Primary|GS1||||
5cf41469-3948-4e16-abdc-1874f37de48c|10888628006980|Primary|GS1||||
707d2530-6e35-426d-ad1c-8e2acde17e1a|10888628006881|Primary|GS1||||
457967bf-c1fe-41fd-becb-2c57891db428|10888628006874|Primary|GS1||||
a4a6ec77-b885-432d-b11f-bcdd6e51bc67|10888628006836|Primary|GS1||||
281242ad-105f-40a6-81ae-5824cfaab3d2|10888628006812|Primary|GS1||||
c6989aa4-c741-4e42-b0d3-3984a62e3b68|10888628006799|Primary|GS1||||
e4cb37f7-eac1-48f9-a7cf-7c2b007c591a|10888628003798|Primary|GS1||||
23b36742-9546-4484-b764-20ebd7bfd547|10888628003743|Primary|GS1||||
d7415395-04ce-4615-bb9a-226a89e1ffa6|10888628003729|Primary|GS1||||
a16cf533-5068-47a2-b782-92575fa1b7b6|10888628003651|Primary|GS1||||
3ed3e9a7-b73e-49f4-b094-44a3409bb1e0|10888628003637|Primary|GS1||||
959c3393-a195-458c-9660-bc8eeafb2cbc|10888628003538|Primary|GS1||||
d1c8185a-d8e0-4b1e-b333-2da92dec6bdd|10888628003484|Primary|GS1||||
b5942292-58b8-4d0d-96b9-4b14b66e5ecb|10888628003316|Primary|GS1||||
9e40caef-f124-4805-bbd3-c9bfb0568fac|10888628003293|Primary|GS1||||
2febdf10-50e0-4980-a147-00e96d46d402|10888628003286|Primary|GS1||||
860e13f6-6259-4153-aed1-07f3ceef8b1c|10888628003248|Primary|GS1||||
761dd3be-c240-4939-9570-9d9e02c958ba|10888628003231|Primary|GS1||||
53eb5051-ab74-4119-a9b5-27c7e0e2c29e|10888628003224|Primary|GS1||||
5be442ca-1dd0-4018-b80d-946a7be0c780|10888628003194|Primary|GS1||||
5fa33f42-de72-4c15-ab0f-e98a7fb03e9e|10888628003156|Primary|GS1||||
98e6dd4f-45d0-44a5-bcba-3430d251a481|10888628003132|Primary|GS1||||
4d2467f0-efc7-41f4-8bdb-d317d93bf3ff|10888628003057|Primary|GS1||||
60d52a84-cc85-45c0-b94a-37f970019d42|10888628003002|Primary|GS1||||
7655f5bb-5077-4376-ae6e-74ad0849f49b|10888628002982|Primary|GS1||||
a9c69312-97ab-4920-89b1-4d2411ac7cc7|10888628002920|Primary|GS1||||
79f2f04f-3747-42fb-a1c2-a9142abf3ad0|10888628002777|Primary|GS1||||
6b824005-7fa0-462f-b6d9-fc330e0a97d4|10888628002753|Primary|GS1||||
e88920ac-cef5-4f25-8cff-7df71a9d81d6|10888628002722|Primary|GS1||||
9f5db29a-b954-4578-bd9e-d54769090691|10888628002715|Primary|GS1||||
48fe0d93-f640-48db-94f3-d42fe81ecd93|10888628002609|Primary|GS1||||
364229fd-46a7-45f4-95de-28c90f20afcf|10888628002579|Primary|GS1||||
b7c13763-0b81-43ce-8db5-2557ff944174|10888628002555|Primary|GS1||||
ffdf57eb-0df2-404f-83ad-09e40e7d9835|10888628002548|Primary|GS1||||
33162ad9-cfa3-45bf-b496-537a99e4d38b|10888628002500|Primary|GS1||||
6e02fee0-ef01-4910-9985-313d739ddd76|10888628002494|Primary|GS1||||
95541646-e1e4-4551-adf1-f25703dd3a64|10888628002432|Primary|GS1||||
8b654d6f-31f5-4909-9de8-f25f2dc90105|10888628002425|Primary|GS1||||
834055b0-e6c2-4faa-9fde-15a822918002|10888628002364|Primary|GS1||||
fcc74282-3782-4f3a-9443-19310503113c|10888628002340|Primary|GS1||||
e7c2f91d-da87-436f-88d9-64c84ab4ab48|10888628002333|Primary|GS1||||
a940103c-08d9-4f26-9587-c80f354566f9|10888628002326|Primary|GS1||||
9f9ece3f-d7ed-4162-9165-ff5151c580fb|10888628002296|Primary|GS1||||
88e9a47b-e726-4068-b67e-58ba81d0ce43|10888628002289|Primary|GS1||||
9ae73e52-8a5c-410d-9adf-e7087a5af763|10888628002272|Primary|GS1||||
100d5e17-aee6-46b3-9170-a3683b5fab1a|10888628002234|Primary|GS1||||
24a67cdb-766a-44d8-a008-aa257854eab5|10888628002142|Primary|GS1||||
3b8c2d0a-9052-44ee-b7a4-a667a63d24f5|10888628002135|Primary|GS1||||
c2879cf9-e7fe-4832-b05a-fac5a5c752b7|10888628002128|Primary|GS1||||
f2d6398b-c142-49d8-bbd8-7a1a9f410617|10888628002074|Primary|GS1||||
433bd66b-9764-4852-9801-35c6840ec727|10888628002036|Primary|GS1||||
eb574ab5-c854-42bc-be8b-b14d476f6301|10888628001923|Primary|GS1||||
73e51c42-bcc6-4630-bad8-c489f1dca414|10888628001879|Primary|GS1||||
440198da-f4e0-435d-b702-1483e440a251|10888628001695|Primary|GS1||||
534c7d51-dfff-492a-9260-734d5bbde6f2|10888628001602|Primary|GS1||||
d1d9b1a3-0d2f-4956-89cc-4494269ceb36|10888628001589|Primary|GS1||||
69f22abd-6c45-4cb2-8601-513a26877509|10888628001435|Primary|GS1||||
db078f6a-04f0-4bad-9582-dadf068d06a2|10888628001367|Primary|GS1||||
5ff3200e-a07e-407e-a596-2371fed5e5bb|10888628001268|Primary|GS1||||
f5bbfd8f-34be-4d10-af11-5967ab5aff10|10888628034464|Primary|GS1||||
dc5a6fa6-d0e7-41b5-bba0-bbec9ac91bcc|10888628034419|Primary|GS1||||
059a9266-457b-43b2-b944-e809f912ec96|10888628034389|Primary|GS1||||
a771b6f0-8310-401d-ad8f-fc89f5886773|10888628034358|Primary|GS1||||
087d97ff-5d51-4ef0-8325-e525d768e36e|10888628034327|Primary|GS1||||
30d51e5a-f6dd-4bb8-9e5d-86fd33982d60|10888628034273|Primary|GS1||||
f351773b-fd63-401c-8334-1c0f0711f5d7|10888628034198|Primary|GS1||||
